스킬 번호,능력,스킬 타입,스킬명,마나 소모량,사거리,쿨타임,시전 시간,스킬 설명,요구 강화 포인트,요구 능력 레벨,스킬 활성화 상태
0,Achery,Active,연속 쏘기,5,25.0,0.0,0.0,연속으로 화살이나 탄환을 쏘아 공격합니다,0,1,FALSE
1,Achery,Active,충격 사격,8,25.0,12.0,0.0,강한 충격을 주는 사격을 합니다,0,3,FALSE
2,Achery,Active,조준 사격,17,0.0,40.0,0.0,정밀하게 조준 자세를 취해 큰 피해를 줍니다,0,10,FALSE
3,Achery,Active,방출 사격,23,10.0,21.0,0.0,방출 사격을 발사하여 적의 접근을 방지합니다,3,15,FALSE
4,Achery,Active,빛의 사격,32,25.0,9.0,0.0,눈부신 사격으로 인해 적의 시야를 방해합니다,0,20,FALSE
5,Achery,Active,발묶음,51,0.0,24.0,0.0,주변 적의 발을 묶습니다,0,25,FALSE
6,Achery,Active,이동 사격,41,0.0,80.0,0.0,끊임없이 이동하며 공격할 준비를 합니다,0,30,FALSE
7,Achery,Active,폭탄 사격,226,25.0,30.0,1.5,폭약이 장착된 화살을 발사합니다,4,35,FALSE
8,Achery,Active,생존 본능,71,0.0,60.0,0.0,생존 본능이 발동되어 생존 확률이 증가합니다,0,40,FALSE
9,Achery,Active,매의 발톱,98,0.0,8.0,0.0,뒤로 빠르게 이동하며 날카로운 공격을 할 수 있게 됩니다,0,45,FALSE
10,Achery,Active,다발 사격,43,50.0,0.0,0.0,다발로 사격하여 적에게 피해를 줍니다,0,50,FALSE
11,Achery,Active,저격,299,45.0,27.0,2.0,먼 거리의 적을 저격하여 강력한 피해를 입힙니다,6,55,FALSE
12,Achery,Passive,야생의 본능,0,0.0,0.0,0.0,이동 속도 8% 증가,3,0,FALSE
13,Achery,Passive,끈기,0,0.0,0.0,0.0,"조준 사격, 이동 사격 유지 중 야성 기술의 활력 소모량 10% 감소",4,0,FALSE
14,Achery,Passive,정밀한 사격,0,0.0,0.0,0.0,활 착용 시 야성 원거리 공격 기술의 영점을 30m로 설정,5,0,FALSE
15,Achery,Passive,야성의 발톱,0,0.0,0.0,0.0,야성 원거리 기술이 치명타로 명중할 때마다 야성의 증표 누적,6,0,FALSE
16,Achery,Passive,명사수,0,0.0,0.0,0.0,야성 능력의 공격 기술 피해율 10% 증가,7,0,FALSE
17,Achery,Passive,번뜩이는 눈,0,0.0,0.0,0.0,원거리 치명타율 9% 증가,8,0,FALSE
