스킬 번호,능력,스킬 타입,스킬명,마나 소모량,사거리,쿨타임,시전 시간,스킬 설명,요구 강화 포인트,요구 능력 레벨,스킬 활성화 상태
0,Battlerage,Active,3단 베기,12,4.0,0.0,0.0,빠르게 적을 베어 공격하며 연속으로 사용 시 피해가 증가합니다,0,1,FALSE
1,Battlerage,Active,돌격,8,12.0,12.0,0.0,순간적으로 적에게 돌격하여 공격합니다,0,3,FALSE
2,Battlerage,Active,가벼운 손놀림,17,0.0,42.0,0.0,손목에 긴장을 풀어 손놀림이 가벼워 집니다,0,10,FALSE
3,Battlerage,Active,회오리 베기,47,0.0,12.0,0.0,빠르게 회전하여 적을 베며 연속으로 사용 시 점점 피해가 증가합니다,3,15,FALSE
4,Battlerage,Active,대지 가르기,92,0.0,16.0,0.5,강력하게 땅을 내리쳐 대지를 가릅니다,0,20,FALSE
5,Battlerage,Active,폭주,55,0.0,90.0,0.0,폭주 상태가 되어 몸을 사리지 않고 공격합니다,0,25,FALSE
6,Battlerage,Active,결정타,55,4.0,21.0,0.0,무기를 강력하게 내리쳐 결정타를 노립니다,0,30,FALSE
7,Battlerage,Active,폭풍 가르기,126,18.0,18.0,0.0,순식간에 적에게 접근하여 폭풍처럼 빠르게 공격합니다,4,35,FALSE
8,Battlerage,Active,속박 해제,88,0.0,18.0,0.0,속박을 해제합니다,0,40,FALSE
9,Battlerage,Active,포효,59,0.0,18.0,0.0,포효하여 주변 적을 나약하게 만들고 시전자는 강인해집니다,0,45,FALSE
10,Battlerage,Active,알모람의 망치,188,15.0,29.0,0.0,알모람의 망치를 던져 공격합니다,0,50,FALSE
11,Battlerage,Active,적진으로,157,20.0,21.0,0.0,지정한 지역으로 도약하여 적진으로 파고듭니다,6,55,FALSE
12,Battlerage,Passive,막고 반격,0,0.0,0.0,0.0,무기 막기 성공 시 격투 공격형 기술의 재사용 대기 시간 모두 초기화,3,0,FALSE
13,Battlerage,Passive,무모한 돌진,0,0.0,0.0,0.0,"돌격, 폭풍 가르기, 적진으로 기술 사용 시 무모한 돌진",4,0,FALSE
14,Battlerage,Passive,물리 관통,0,0.0,0.0,0.0,근접 치명타 명중 시 물리 관통,5,0,FALSE
15,Battlerage,Passive,공격 속도 연마,0,0.0,0.0,0.0,격투 피해가 발생하는 기술 명중 시 광란,6,0,FALSE
16,Battlerage,Passive,무기의 달인,0,0.0,0.0,0.0,격투 능력의 공격 기술 피해율 10% 증가,7,0,FALSE
17,Battlerage,Passive,무기 연마,0,0.0,0.0,0.0,쌍수 무기나 양손 무기 착용 시 원거리 무기 막기 가능,8,0,FALSE
