스킬 번호,능력,스킬 타입,스킬명,마나 소모량,사거리,쿨타임,시전 시간,스킬 설명,요구 강화 포인트,요구 능력 레벨,스킬 활성화 상태
0,Shadowpaly,Active,연속 베기,8,4.0,0.0,0.0,연속으로 빠르게 베어 공격합니다,0,1,FALSE
1,Shadowpaly,Active,독 바르기,12,0.0,9.0,0.0,독의 기운을 품고 있다가 적에게 전이시킵니다,0,3,FALSE
2,Shadowpaly,Active,내리꽂기,47,4.0,21.0,0.0,무기를 내리꽂아 공격합니다,0,10,FALSE
3,Shadowpaly,Active,물러서기,34,0.0,12.0,0.0,순간적으로 몸을 뒤로 날립니다,3,15,FALSE
4,Shadowpaly,Active,덮치기,69,15.0,18.0,0.0,대상에게 도약하여 피해를 줍니다,0,20,FALSE
5,Shadowpaly,Active,추적자의 표식,31,25.0,27.0,0.0,대상에게 표식을 남깁니다,0,25,FALSE
6,Shadowpaly,Active,난타,170,4.0,12.0,0.0,매우 빠른 속도로 적을 4회 난타합니다,0,30,FALSE
7,Shadowpaly,Active,은신,57,0.0,30.0,0.0,은신하여 적에 눈에 띄지 않습니다,4,35,FALSE
8,Shadowpaly,Active,재빠른 몸놀림,65,0.0,90.0,0.0,재빠르게 움직일 수 있습니다,0,40,FALSE
9,Shadowpaly,Active,어둠의 일격,92,4.0,24.0,0.0,기습하여 강한 피해를 줍니다,0,45,FALSE
10,Shadowpaly,Active,소드락질,79,12.0,45.0,0.0,대상의 이로운 효과를 빼앗아옵니다,0,50,FALSE
11,Shadowpaly,Active,비수 던지기,402,10.0,35.0,0.0,숨겨둔 비수를 던집니다,6,55,FALSE
12,Shadowpaly,Passive,능숙한 그림자,0,0.0,0.0,0.0,공격 속도 40 증가,3,0,FALSE
13,Shadowpaly,Passive,급소 피하기,0,0.0,0.0,0.0,회피 확률 5% 증가,4,0,FALSE
14,Shadowpaly,Passive,약점 간파,0,0.0,0.0,0.0,모든 치명타 및 치유 극대화 성공 시 약점 간파,5,0,FALSE
15,Shadowpaly,Passive,살기 증폭,0,0.0,0.0,0.0,살기 누적 시 2회 누적,6,0,FALSE
16,Shadowpaly,Passive,교란술,0,0.0,0.0,0.0,"독, 출혈 효과 지속 시간 70% 증가",7,0,FALSE
17,Shadowpaly,Passive,냉정한 살의,0,0.0,0.0,0.0,사명 기술의 재사용 대기 시간 20% 감소,8,0,FALSE
