스킬 번호,능력,스킬 타입,스킬명,마나 소모량,사거리,쿨타임,시전 시간,스킬 설명,요구 강화 포인트,요구 능력 레벨,스킬 활성화 상태
0,Songcraft,Active,칼의 화음,9,20.0,16.0,0.0,날카로운 화음을 발생시켜 적에게 고통을 줍니다,0,1,FALSE
1,Songcraft,Active,매혹의 노래,11,15.0,18.0,0.0,매혹의 노래를 불러 적을 멍하게 합니다,0,3,FALSE
2,Songcraft,Active,[연주] 경쾌한 행진곡,41,0.0,2.0,0.0,경쾌한 행진곡을 연주하여 빠르게 움직입니다,0,10,FALSE
3,Songcraft,Active,불협 화음,49,20.0,30.0,0.0,괴로운 소음을 발생시켜 물건을 떨어뜨릴 정도로 적을 고통스럽게 합니다,3,15,FALSE
4,Songcraft,Active,추격,29,0.0,28.0,0.0,음악의 힘을 이용하여 빠르게 이동합니다,0,20,FALSE
5,Songcraft,Active,[연주] 치유의 무곡,94,0.0,2.0,0.0,치유의 노래를 연주하여 생명력의 기운을 불어 넣습니다,0,25,FALSE
6,Songcraft,Active,치유의 돌림노래,179,30.0,15.0,0.0,치유의 노래를 불러 생명력을 회복합니다,0,30,FALSE
7,Songcraft,Active,현인의 시,52,0.0,8.0,0.0,현인의 시를 읊어 현인에 한 발자국 가까워 집니다,4,35,FALSE
8,Songcraft,Active,[연주] 대지의 찬가,124,0.0,2.0,0.0,대지의 찬가를 불러 동료를 보호합니다,0,40,FALSE
9,Songcraft,Active,나팔소리,170,0.0,45.0,0.0,깜짝 놀라는 연주를 하여 적이 집중할 수 없도록 합니다,0,45,FALSE
10,Songcraft,Active,[연주] 활기찬 광시곡,209,0.0,2.0,0.0,활기찬 노래를 불러 공격을 더 원활하게 합니다,0,50,FALSE
11,Songcraft,Active,구원의 노래,355,50.0,120.0,0.0,지정한 지역에 노래를 불러 아군을 구원합니다,6,55,FALSE
12,Songcraft,Passive,정확한 화음,0,0.0,0.0,0.0,"공명, 불협 화음 효과 항상 적중",3,0,FALSE
13,Songcraft,Passive,연주 시간 증가,0,0.0,0.0,0.0,[연주] 기술의 지속 시간 15초 증가,4,0,FALSE
14,Songcraft,Passive,신명,0,0.0,0.0,0.0,모든 치명타 및 치유 극대화 성공 시 신명,5,0,FALSE
15,Songcraft,Passive,집중의 선율,0,0.0,0.0,0.0,현인의 시 사용 시 운율 2개 추가 누적,6,0,FALSE
16,Songcraft,Passive,시전 집중,0,0.0,0.0,0.0,연주 효과의 지속 시간 2초 증가,7,0,FALSE
17,Songcraft,Passive,연주의 대가,0,0.0,0.0,0.0,[연주] 기술의 범위가 반경 25m로 증가,8,0,FALSE
