스킬 번호,능력,스킬 타입,스킬명,마나 소모량,사거리,쿨타임,시전 시간,스킬 설명,요구 강화 포인트,요구 능력 레벨,스킬 활성화 상태
0,Sorcery,Active,불꽃 송이,21,23.0,0.0,1.0,불덩이를 날려 공격합니다,0,1,FALSE
1,Sorcery,Active,얼음 화살,27,23.0,6.0,1.5,얼음 덩어리를 날려 공격합니다,0,3,FALSE
2,Sorcery,Active,보호막,29,0.0,30.0,1.5,보호막을 만들어 받는 피해를 감소 시킵니다,0,10,FALSE
3,Sorcery,Active,분노의 벼락,44,23.0,8.0,2.5,분노로 가득 찬 벼락을 쏘아 감전 시킵니다,3,15,FALSE
4,Sorcery,Active,마법진,59,0.0,21.0,0.0,발 밑에 마법진을 소환합니다,0,20,FALSE
5,Sorcery,Active,얼어붙은 대지,130,0.0,28.0,0.0,주변 대지를 얼어붙게 만듭니다,0,25,FALSE
6,Sorcery,Active,불의 장벽,280,0.0,26.0,0.0,불의 장벽을 소환해 적이 접근하지 못하게 합니다,0,30,FALSE
7,Sorcery,Active,연쇄 번개,136,12.0,30.0,0.0,주변에 연쇄적으로 전이되는 번개를 쏩니다,4,35,FALSE
8,Sorcery,Active,불의 비,414,0.0,13.0,2.5,불의 비를 내리게 합니다,0,40,FALSE
9,Sorcery,Active,차가운 발걸음,118,0.0,40.0,2.0,걸어 지나간 자리에 냉기 지역을 소환합니다,0,45,FALSE
10,Sorcery,Active,별똥별,564,28.0,28.0,5.0,하늘의 별을 떨어트려 강력한 피해를 줍니다,0,50,FALSE
11,Sorcery,Active,연속 벼락,86,25.0,21.0,1.0,연속으로 벼락을 떨어트립니다,6,55,FALSE
12,Sorcery,Passive,최대 활력 증가,0,0.0,0.0,0.0,최대 활력 35% 증가,3,0,FALSE
13,Sorcery,Passive,아란제브의 혈통,0,0.0,0.0,0.0,마법 능력 기술의 시전 시간 8% 감소,4,0,FALSE
14,Sorcery,Passive,집중,0,0.0,0.0,0.0,"불 붙음, 얼음화, 감전 효과의 지속 시간 30% 증가",5,0,FALSE
15,Sorcery,Passive,쉼없는 마법샘,0,0.0,0.0,0.0,"보호막, 차가운 발걸음, 마법진 사용 시 마력의 원천",6,0,FALSE
16,Sorcery,Passive,알렉산데르 학파,0,0.0,0.0,0.0,마법 능력의 공격 기술 피해율 10% 증가,7,0,FALSE
17,Sorcery,Passive,고통의 내면,0,0.0,0.0,0.0,"마법 치명타율 6%, 마법 능력의 시전 기술 피해 5% 증가",8,0,FALSE
